type	latitude	longitude	altitude (m)	name
T	-33.088309000	-71.655849000	262.3	valpo
T	-33.088309000	-71.655225879	266.0	
T	-33.088309000	-71.654602758	272.6	
T	-33.088309000	-71.653979636	281.0	
T	-33.088309000	-71.653356515	289.9	
T	-33.088309000	-71.652733394	290.4	
T	-33.088309000	-71.652110273	287.2	
T	-33.088309000	-71.651487152	280.7	
T	-33.088309000	-71.650864030	270.9	
T	-33.088309000	-71.650240909	261.3	
T	-33.088309000	-71.649617788	262.8	
T	-33.088309000	-71.648994667	270.8	
T	-33.088309000	-71.648371545	277.2	
T	-33.088309000	-71.647748424	284.7	
T	-33.088309000	-71.647125303	294.6	
T	-33.088309000	-71.646502182	303.7	
T	-33.088309000	-71.645879061	306.7	
T	-33.088309000	-71.645255939	310.5	
T	-33.088309000	-71.644632818	318.8	
T	-33.088309000	-71.644009697	330.9	
T	-33.088309000	-71.643386576	344.9	
T	-33.088309000	-71.642763454	356.9	
T	-33.088309000	-71.642140333	364.4	
T	-33.088309000	-71.641517212	367.7	
T	-33.088309000	-71.640894091	367.1	
T	-33.088309000	-71.640270970	368.5	
T	-33.088309000	-71.639647849	367.1	
T	-33.088309000	-71.639024727	364.0	
T	-33.088309000	-71.638401606	362.4	
T	-33.088309000	-71.637778485	368.8	
T	-33.088309000	-71.637155364	376.2	
T	-33.088309000	-71.636532242	380.1	
T	-33.088309000	-71.635909121	371.4	
T	-33.088309000	-71.635286000	362.4	
T	-33.088309000	-71.634662879	368.3	
T	-33.088309000	-71.634039758	386.1	
T	-33.088309000	-71.633416636	401.8	
T	-33.088309000	-71.632793515	413.6	
T	-33.088309000	-71.632170394	420.2	
T	-33.088309000	-71.631547273	421.3	
T	-33.088309000	-71.630924151	416.2	
T	-33.088309000	-71.630301030	422.3	
T	-33.088309000	-71.629677909	428.5	
T	-33.088309000	-71.629054788	433.0	
T	-33.088309000	-71.628431667	436.8	
T	-33.088309000	-71.627808546	440.5	
T	-33.088309000	-71.627185424	439.7	
T	-33.088309000	-71.626562303	433.2	
T	-33.088309000	-71.625939182	419.8	
T	-33.088309000	-71.625316061	415.6	
T	-33.088309000	-71.624692939	414.1	
T	-33.088309000	-71.624069818	412.1	
T	-33.088309000	-71.623446697	402.6	
T	-33.088309000	-71.622823576	407.6	
T	-33.088309000	-71.622200455	421.5	
T	-33.088309000	-71.621577333	439.5	
T	-33.088309000	-71.620954212	445.9	
T	-33.088309000	-71.620331091	448.0	
T	-33.088309000	-71.619707970	451.9	
T	-33.088309000	-71.619084848	460.2	
T	-33.088309000	-71.618461727	475.4	
T	-33.088309000	-71.617838606	483.3	
T	-33.088309000	-71.617215485	487.0	
T	-33.088309000	-71.616592364	488.2	
T	-33.088309000	-71.615969242	491.3	
T	-33.088309000	-71.615346121	496.6	
T	-33.088309000	-71.614723000	500.3	
T	-33.088309000	-71.614099879	500.9	
T	-33.088309000	-71.613476758	498.7	
T	-33.088309000	-71.612853636	497.6	
T	-33.088309000	-71.612230515	496.8	
T	-33.088309000	-71.611607394	495.6	
T	-33.088309000	-71.610984273	491.2	
T	-33.088309000	-71.610361152	490.6	
T	-33.088309000	-71.609738030	489.8	
T	-33.088309000	-71.609114909	486.6	
T	-33.088309000	-71.608491788	480.6	
T	-33.088309000	-71.607868667	470.6	
T	-33.088309000	-71.607245546	461.8	
T	-33.088309000	-71.606622424	456.5	
T	-33.088309000	-71.605999303	451.1	
T	-33.088309000	-71.605376182	448.5	
T	-33.088309000	-71.604753061	445.9	
T	-33.088309000	-71.604129939	441.6	
T	-33.088309000	-71.603506818	436.4	
T	-33.088309000	-71.602883697	435.4	
T	-33.088309000	-71.602260576	432.7	
T	-33.088309000	-71.601637454	424.1	
T	-33.088309000	-71.601014333	402.5	
T	-33.088309000	-71.600391212	399.6	
T	-33.088309000	-71.599768091	407.9	
T	-33.088309000	-71.599144970	421.9	
T	-33.088309000	-71.598521848	430.2	
T	-33.088309000	-71.597898727	429.1	
T	-33.088309000	-71.597275606	422.9	
T	-33.088309000	-71.596652485	415.0	
T	-33.088309000	-71.596029364	418.6	
T	-33.088309000	-71.595406242	423.4	
T	-33.088309000	-71.594783121	426.1	
T	-33.088309000	-71.594160000	423.8	
T	-33.088847586	-71.655849000	253.3	
T	-33.088847586	-71.655225879	254.3	
T	-33.088847586	-71.654602758	260.8	
T	-33.088847586	-71.653979636	269.9	
T	-33.088847586	-71.653356515	278.0	
T	-33.088847586	-71.652733394	276.1	
T	-33.088847586	-71.652110273	273.4	
T	-33.088847586	-71.651487152	269.5	
T	-33.088847586	-71.650864030	263.5	
T	-33.088847586	-71.650240909	260.1	
T	-33.088847586	-71.649617788	269.4	
T	-33.088847586	-71.648994667	285.0	
T	-33.088847586	-71.648371545	295.8	
T	-33.088847586	-71.647748424	301.4	
T	-33.088847586	-71.647125303	310.7	
T	-33.088847586	-71.646502182	320.3	
T	-33.088847586	-71.645879061	322.9	
T	-33.088847586	-71.645255939	322.2	
T	-33.088847586	-71.644632818	324.4	
T	-33.088847586	-71.644009697	329.8	
T	-33.088847586	-71.643386576	338.5	
T	-33.088847586	-71.642763454	351.4	
T	-33.088847586	-71.642140333	360.2	
T	-33.088847586	-71.641517212	364.3	
T	-33.088847586	-71.640894091	364.5	
T	-33.088847586	-71.640270970	361.7	
T	-33.088847586	-71.639647849	357.2	
T	-33.088847586	-71.639024727	353.5	
T	-33.088847586	-71.638401606	356.2	
T	-33.088847586	-71.637778485	364.7	
T	-33.088847586	-71.637155364	372.0	
T	-33.088847586	-71.636532242	373.8	
T	-33.088847586	-71.635909121	361.6	
T	-33.088847586	-71.635286000	355.9	
T	-33.088847586	-71.634662879	363.5	
T	-33.088847586	-71.634039758	381.9	
T	-33.088847586	-71.633416636	400.9	
T	-33.088847586	-71.632793515	409.9	
T	-33.088847586	-71.632170394	412.2	
T	-33.088847586	-71.631547273	409.8	
T	-33.088847586	-71.630924151	407.3	
T	-33.088847586	-71.630301030	413.6	
T	-33.088847586	-71.629677909	421.8	
T	-33.088847586	-71.629054788	429.9	
T	-33.088847586	-71.628431667	435.5	
T	-33.088847586	-71.627808546	436.4	
T	-33.088847586	-71.627185424	431.0	
T	-33.088847586	-71.626562303	419.6	
T	-33.088847586	-71.625939182	404.7	
T	-33.088847586	-71.625316061	399.6	
T	-33.088847586	-71.624692939	397.8	
T	-33.088847586	-71.624069818	397.9	
T	-33.088847586	-71.623446697	400.2	
T	-33.088847586	-71.622823576	412.1	
T	-33.088847586	-71.622200455	425.1	
T	-33.088847586	-71.621577333	435.7	
T	-33.088847586	-71.620954212	438.4	
T	-33.088847586	-71.620331091	444.4	
T	-33.088847586	-71.619707970	454.5	
T	-33.088847586	-71.619084848	467.9	
T	-33.088847586	-71.618461727	477.1	
T	-33.088847586	-71.617838606	483.0	
T	-33.088847586	-71.617215485	485.9	
T	-33.088847586	-71.616592364	486.4	
T	-33.088847586	-71.615969242	489.0	
T	-33.088847586	-71.615346121	492.4	
T	-33.088847586	-71.614723000	493.1	
